respondent_id,choiseset_id,alternative_id,choice_id,cloud_storage,customer_support,cloud_services,price,choice
2,1,2,16,5000gb,no,email,p6,0
2,1,3,16,2000gb,yes,"email, video",p6,1
2,2,1,17,5000gb,yes,"email, video, productivity",p18,0
2,2,2,17,2000gb,no,email,p12,0
2,2,3,17,2000gb,no,"email, video, productivity",p12,1
2,3,1,18,2000gb,no,"email, video",p12,1
2,3,2,18,30gb,no,email,p18,0
2,3,3,18,30gb,no,"email, video",p6,0
2,4,1,19,5000gb,yes,"email, video, productivity",p12,0
2,4,2,19,2000gb,yes,email,p18,0
2,4,3,19,30gb,yes,"email, video, productivity",p6,1
2,5,1,20,2000gb,yes,"email, video, productivity",p6,1
2,5,2,20,5000gb,no,"email, video",p6,0
2,5,3,20,2000gb,yes,email,p12,0
2,6,1,21,30gb,yes,email,p12,0
2,6,2,21,2000gb,no,"email, video",p6,1
2,6,3,21,30gb,no,"email, video",p18,0
2,7,1,22,5000gb,no,email,p12,0
2,7,2,22,5000gb,no,"email, video",p12,0
2,7,3,22,2000gb,no,"email, video, productivity",p6,1
2,8,1,23,5000gb,yes,email,p6,1
2,8,2,23,2000gb,no,"email, video",p18,0
2,8,3,23,5000gb,no,"email, video",p18,0
2,9,1,24,30gb,no,"email, video",p12,0
2,9,2,24,30gb,yes,"email, video",p6,1
2,9,3,24,5000gb,no,"email, video, productivity",p18,0
2,10,1,25,2000gb,yes,"email, video, productivity",p18,0
2,10,2,25,2000gb,yes,"email, video, productivity",p12,1
2,10,3,25,5000gb,yes,email,p12,0
2,11,1,26,5000gb,no,email,p18,0
2,11,2,26,5000gb,yes,"email, video",p6,1
2,11,3,26,2000gb,yes,email,p6,0
2,12,1,27,30gb,no,email,p12,0
2,12,2,27,30gb,yes,"email, video",p12,1
2,12,3,27,30gb,yes,"email, video",p18,0
2,13,1,28,30gb,no,"email, video, productivity",p6,0
2,13,2,28,30gb,yes,email,p6,0
2,13,3,28,5000gb,no,"email, video, productivity",p6,1
2,14,1,29,2000gb,no,email,p6,0
2,14,2,29,5000gb,yes,"email, video",p18,1
2,14,3,29,30gb,yes,email,p18,0
2,15,1,30,5000gb,yes,email,p18,0
2,15,2,30,2000gb,yes,"email, video",p12,0
2,15,3,30,5000gb,no,"email, video, productivity",p12,1
3,1,1,31,30gb,yes,email,p6,0
3,1,2,31,5000gb,yes,"email, video, productivity",p6,1
3,1,3,31,5000gb,no,email,p18,0
3,2,1,32,2000gb,yes,"email, video, productivity",p12,1
3,2,2,32,2000gb,no,"email, video, productivity",p18,0
3,2,3,32,2000gb,yes,"email, video",p18,0
3,3,1,33,30gb,yes,email,p12,0
3,3,2,33,2000gb,yes,email,p18,0
3,3,3,33,5000gb,yes,"email, video, productivity",p12,1
3,4,1,34,5000gb,yes,email,p6,0
3,4,2,34,30gb,no,"email, video, productivity",p6,0
3,4,3,34,30gb,yes,"email, video, productivity",p12,1
3,5,1,35,2000gb,no,email,p18,0
3,5,2,35,2000gb,no,"email, video, productivity",p6,1
3,5,3,35,2000gb,no,email,p6,0
3,6,1,36,30gb,no,email,p18,0
3,6,2,36,30gb,no,email,p12,1
3,6,3,36,30gb,no,"email, video",p6,0
3,7,1,37,30gb,yes,"email, video, productivity",p18,0
3,7,2,37,5000gb,yes,email,p12,1
3,7,3,37,5000gb,no,"email, video, productivity",p6,0
3,8,1,38,5000gb,no,"email, video, productivity",p18,1
3,8,2,38,5000gb,yes,"email, video",p12,0
3,8,3,38,5000gb,yes,email,p18,0
3,9,1,39,5000gb,no,email,p6,0
3,9,2,39,30gb,no,"email, video, productivity",p12,0
3,9,3,39,30gb,yes,"email, video",p6,1
3,10,1,40,5000gb,yes,"email, video",p6,0
3,10,2,40,5000gb,no,"email, video, productivity",p12,1
3,10,3,40,30gb,yes,"email, video",p18,0
3,11,1,41,30gb,no,"email, video",p18,0
3,11,2,41,5000gb,no,"email, video",p12,1
3,11,3,41,30gb,yes,"email, video",p12,0
3,12,1,42,2000gb,yes,"email, video",p6,0
3,12,2,42,5000gb,no,"email, video",p6,1
3,12,3,42,30gb,no,"email, video, productivity",p18,0
3,13,1,43,2000gb,no,"email, video, productivity",p12,0
3,13,2,43,30gb,yes,email,p18,0
3,13,3,43,2000gb,no,email,p12,1
3,14,1,44,30gb,yes,"email, video, productivity",p6,0
3,14,2,44,2000gb,yes,"email, video, productivity",p18,0
3,14,3,44,2000gb,no,"email, video",p12,1
3,15,1,45,2000gb,yes,email,p12,0
3,15,2,45,2000gb,no,"email, video",p18,1
3,15,3,45,30gb,no,email,p6,0
4,1,1,46,2000gb,yes,"email, video, productivity",p6,0
4,1,2,46,30gb,yes,email,p12,0
4,1,3,46,5000gb,yes,"email, video, productivity",p6,1
4,2,1,47,5000gb,yes,"email, video",p18,1
4,2,2,47,2000gb,yes,"email, video",p18,0
4,2,3,47,2000gb,no,"email, video, productivity",p6,0
4,3,1,48,5000gb,yes,"email, video, productivity",p18,1
4,3,2,48,30gb,no,"email, video, productivity",p12,0
4,3,3,48,30gb,yes,email,p6,0
4,4,1,49,5000gb,yes,email,p6,0
4,4,2,49,30gb,no,email,p18,0
4,4,3,49,5000gb,yes,"email, video",p6,1
4,5,1,50,5000gb,no,email,p12,0
4,5,2,50,30gb,yes,"email, video, productivity",p12,1
4,5,3,50,30gb,no,"email, video",p18,0
4,6,1,51,5000gb,no,"email, video, productivity",p6,1
4,6,2,51,2000gb,yes,"email, video",p12,0
4,6,3,51,30gb,no,email,p12,0
4,7,1,52,2000gb,no,"email, video",p12,0
4,7,2,52,5000gb,yes,email,p18,0
4,7,3,52,5000gb,no,"email, video, productivity",p18,1
4,8,1,53,5000gb,yes,"email, video, productivity",p12,1
4,8,2,53,30gb,no,"email, video",p6,0
4,8,3,53,30gb,no,"email, video, productivity",p6,0
4,9,1,54,30gb,no,"email, video",p12,0
4,9,2,54,2000gb,no,email,p18,0
4,9,3,54,2000gb,yes,"email, video, productivity",p18,1
4,10,1,55,2000gb,no,email,p6,0
4,10,2,55,2000gb,yes,"email, video",p6,1
4,10,3,55,5000gb,no,"email, video",p18,0
4,11,1,56,2000gb,no,"email, video",p18,0
4,11,2,56,30gb,yes,"email, video",p12,0
4,11,3,56,5000gb,no,email,p6,1
4,12,1,57,5000gb,no,email,p18,0
4,12,2,57,5000gb,no,"email, video",p12,1
4,12,3,57,30gb,yes,"email, video",p18,0
4,13,1,58,30gb,yes,email,p18,0
4,13,2,58,2000gb,no,email,p12,0
4,13,3,58,2000gb,yes,email,p18,1
4,14,1,59,30gb,no,email,p6,0
4,14,2,59,5000gb,no,"email, video",p6,1
4,14,3,59,2000gb,no,"email, video, productivity",p18,0
4,15,1,60,30gb,yes,"email, video",p6,0
4,15,2,60,30gb,no,"email, video, productivity",p18,0
4,15,3,60,30gb,yes,"email, video, productivity",p6,1
5,1,1,61,5000gb,no,"email, video, productivity",p6,1
5,1,2,61,5000gb,no,email,p6,0
5,1,3,61,5000gb,yes,"email, video",p18,0
5,2,1,62,5000gb,no,"email, video, productivity",p12,1
5,2,2,62,2000gb,yes,"email, video",p6,0
5,2,3,62,2000gb,no,"email, video, productivity",p12,0
5,3,1,63,2000gb,no,"email, video, productivity",p18,0
5,3,2,63,2000gb,yes,"email, video",p12,1
5,3,3,63,5000gb,no,email,p18,0
5,4,1,64,30gb,yes,email,p12,0
5,4,2,64,2000gb,no,"email, video",p6,1
5,4,3,64,30gb,yes,email,p18,0
5,5,1,65,2000gb,no,email,p18,0
5,5,2,65,30gb,yes,"email, video, productivity",p12,1
5,5,3,65,2000gb,no,"email, video",p18,0
5,6,1,66,30gb,no,"email, video, productivity",p6,1
5,6,2,66,2000gb,yes,email,p18,0
5,6,3,66,5000gb,yes,"email, video",p6,0
5,7,1,67,5000gb,yes,"email, video, productivity",p18,0
5,7,2,67,5000gb,no,"email, video",p12,0
5,7,3,67,2000gb,yes,"email, video, productivity",p12,1
5,8,1,68,30gb,yes,"email, video",p18,1
5,8,2,68,30gb,no,"email, video",p18,0
5,8,3,68,5000gb,yes,email,p18,0
5,9,1,69,30gb,yes,email,p6,1
5,9,2,69,2000gb,no,"email, video",p12,0
5,9,3,69,30gb,no,email,p6,0
5,10,1,70,2000gb,yes,"email, video",p18,0
5,10,2,70,5000gb,yes,"email, video, productivity",p6,1
5,10,3,70,5000gb,no,"email, video",p6,0
5,11,1,71,30gb,no,email,p18,0
5,11,2,71,30gb,no,"email, video",p6,1
5,11,3,71,30gb,no,email,p12,0
5,12,1,72,2000gb,yes,email,p6,0
5,12,2,72,5000gb,yes,email,p6,1
5,12,3,72,2000gb,yes,email,p12,0
5,13,1,73,2000gb,no,"email, video, productivity",p6,1
5,13,2,73,5000gb,yes,email,p12,0
5,13,3,73,5000gb,yes,"email, video",p12,0
5,14,1,74,30gb,yes,"email, video",p12,1
5,14,2,74,30gb,yes,"email, video, productivity",p6,0
5,14,3,74,30gb,no,"email, video",p12,0
5,15,1,75,2000gb,no,email,p12,0
5,15,2,75,2000gb,yes,"email, video, productivity",p18,0
5,15,3,75,30gb,no,"email, video, productivity",p18,1
6,1,1,76,5000gb,yes,"email, video, productivity",p12,1
6,1,2,76,30gb,yes,"email, video",p6,0
6,1,3,76,2000gb,yes,"email, video",p18,0
6,2,1,77,5000gb,no,email,p12,0
6,2,2,77,2000gb,no,"email, video",p18,0
6,2,3,77,2000gb,yes,"email, video",p6,1
6,3,1,78,30gb,no,email,p6,0
6,3,2,78,30gb,no,email,p18,0
6,3,3,78,30gb,yes,email,p6,1
6,4,1,79,30gb,yes,"email, video, productivity",p6,1
6,4,2,79,30gb,no,"email, video, productivity",p12,0
6,4,3,79,2000gb,yes,email,p12,0
6,5,1,80,30gb,no,"email, video",p12,1
6,5,2,80,2000gb,yes,email,p18,0
6,5,3,80,5000gb,yes,"email, video",p18,0
6,6,1,81,2000gb,no,"email, video, productivity",p12,1
6,6,2,81,5000gb,no,"email, video, productivity",p18,0
6,6,3,81,2000gb,yes,"email, video, productivity",p12,0
6,7,1,82,2000gb,no,"email, video, productivity",p6,0
6,7,2,82,30gb,yes,"email, video",p12,0
6,7,3,82,30gb,no,email,p12,1
6,8,1,83,5000gb,yes,"email, video",p12,0
6,8,2,83,5000gb,yes,"email, video, productivity",p18,0
6,8,3,83,2000gb,yes,"email, video, productivity",p6,1
6,9,1,84,5000gb,yes,email,p12,0
6,9,2,84,5000gb,yes,"email, video",p6,1
6,9,3,84,30gb,yes,"email, video, productivity",p18,0
6,10,1,85,30gb,no,"email, video",p18,1
6,10,2,85,30gb,yes,email,p18,0
6,10,3,85,2000gb,no,"email, video",p6,0
6,11,1,86,5000gb,no,email,p18,0
6,11,2,86,30gb,no,"email, video",p6,0
6,11,3,86,2000gb,no,email,p6,1
6,12,1,87,5000gb,yes,email,p18,0
6,12,2,87,5000gb,no,"email, video, productivity",p12,1
6,12,3,87,30gb,yes,email,p12,0
6,13,1,88,2000gb,yes,email,p6,1
6,13,2,88,5000gb,no,"email, video, productivity",p6,0
6,13,3,88,5000gb,no,"email, video",p18,0
6,14,1,89,30gb,no,"email, video, productivity",p6,1
6,14,2,89,2000gb,yes,"email, video, productivity",p18,0
6,14,3,89,2000gb,no,"email, video",p12,0
6,15,1,90,2000gb,no,"email, video, productivity",p18,0
6,15,2,90,2000gb,yes,"email, video",p12,0
6,15,3,90,5000gb,no,email,p6,1
7,1,1,91,30gb,yes,"email, video",p18,0
7,1,2,91,2000gb,no,"email, video",p6,0
7,1,3,91,5000gb,yes,"email, video, productivity",p18,1
7,2,1,92,5000gb,no,email,p6,1
7,2,2,92,5000gb,no,"email, video, productivity",p6,0
7,2,3,92,30gb,yes,email,p6,0
7,3,1,93,30gb,yes,email,p12,0
7,3,2,93,30gb,no,"email, video, productivity",p6,0
7,3,3,93,5000gb,yes,email,p12,1
7,4,1,94,2000gb,yes,"email, video, productivity",p6,1
7,4,2,94,30gb,yes,"email, video, productivity",p12,0
7,4,3,94,2000gb,no,"email, video, productivity",p12,0
7,5,1,95,5000gb,yes,"email, video, productivity",p6,1
7,5,2,95,30gb,no,email,p18,0
7,5,3,95,2000gb,no,"email, video, productivity",p18,0
7,6,1,96,5000gb,no,"email, video",p6,0
7,6,2,96,30gb,yes,"email, video, productivity",p6,0
7,6,3,96,5000gb,yes,"email, video, productivity",p12,1
7,7,1,97,30gb,yes,"email, video, productivity",p18,1
7,7,2,97,2000gb,yes,"email, video, productivity",p18,0
7,7,3,97,5000gb,no,"email, video, productivity",p12,0
7,8,1,98,5000gb,no,"email, video, productivity",p18,0
7,8,2,98,2000gb,yes,"email, video",p18,0
7,8,3,98,5000gb,yes,email,p6,1
7,9,1,99,2000gb,no,"email, video",p18,0
7,9,2,99,30gb,no,email,p12,1
7,9,3,99,2000gb,no,"email, video, productivity",p6,0
7,10,1,100,30gb,no,email,p6,0
7,10,2,100,30gb,yes,"email, video",p6,1
7,10,3,100,5000gb,no,email,p12,0
7,11,1,101,2000gb,yes,"email, video",p6,1
7,11,2,101,30gb,yes,email,p18,0
7,11,3,101,30gb,no,"email, video, productivity",p18,0
7,12,1,102,5000gb,no,email,p18,0
7,12,2,102,30gb,no,"email, video, productivity",p12,0
7,12,3,102,30gb,no,"email, video",p6,1
7,13,1,103,2000gb,no,email,p6,0
7,13,2,103,5000gb,yes,"email, video",p12,1
7,13,3,103,5000gb,no,"email, video",p18,0
7,14,1,104,30gb,no,"email, video",p12,0
7,14,2,104,5000gb,yes,email,p18,1
7,14,3,104,2000gb,no,email,p18,0
7,15,1,105,2000gb,yes,email,p18,0
7,15,2,105,2000gb,yes,"email, video, productivity",p12,1
7,15,3,105,2000gb,yes,email,p6,0
8,1,1,106,2000gb,yes,"email, video, productivity",p6,1
8,1,2,106,30gb,no,"email, video, productivity",p6,0
8,1,3,106,30gb,no,email,p6,0
8,2,1,107,30gb,yes,"email, video, productivity",p18,1
8,2,2,107,30gb,no,"email, video, productivity",p18,0
8,2,3,107,5000gb,no,"email, video",p18,0
8,3,1,108,30gb,no,"email, video",p18,0
8,3,2,108,2000gb,yes,email,p18,0
8,3,3,108,2000gb,no,"email, video",p12,1
8,4,1,109,2000gb,no,"email, video, productivity",p18,0
8,4,2,109,5000gb,yes,"email, video, productivity",p6,1
8,4,3,109,5000gb,no,"email, video, productivity",p18,0
8,5,1,110,5000gb,yes,"email, video",p18,0
8,5,2,110,5000gb,yes,"email, video, productivity",p12,1
8,5,3,110,2000gb,yes,email,p12,0
8,6,1,111,30gb,no,email,p12,0
8,6,2,111,30gb,no,"email, video",p12,0
8,6,3,111,5000gb,yes,"email, video",p6,1
8,7,1,112,2000gb,no,email,p18,0
8,7,2,112,2000gb,yes,"email, video",p6,0
8,7,3,112,5000gb,no,email,p12,1
8,8,1,113,5000gb,no,"email, video",p12,0
8,8,2,113,5000gb,yes,email,p6,0
8,8,3,113,5000gb,yes,email,p12,1
8,9,1,114,5000gb,no,email,p18,0
8,9,2,114,2000gb,no,"email, video",p6,1
8,9,3,114,5000gb,no,"email, video",p6,0
8,10,1,115,2000gb,no,"email, video, productivity",p6,1
8,10,2,115,30gb,yes,"email, video, productivity",p6,0
8,10,3,115,2000gb,no,"email, video, productivity",p12,0
8,11,1,116,2000gb,yes,"email, video",p18,0
8,11,2,116,2000gb,yes,email,p6,0
8,11,3,116,5000gb,yes,"email, video, productivity",p18,1
8,12,1,117,2000gb,yes,"email, video, productivity",p12,0
8,12,2,117,5000gb,no,"email, video, productivity",p12,1
8,12,3,117,30gb,yes,email,p18,0
8,13,1,118,2000gb,no,email,p6,0
8,13,2,118,2000gb,yes,"email, video, productivity",p18,1
8,13,3,118,30gb,no,email,p18,0
8,14,1,119,30gb,yes,email,p12,0
8,14,2,119,30gb,no,"email, video, productivity",p12,1
8,14,3,119,30gb,yes,"email, video",p6,0
8,15,1,120,30gb,yes,"email, video",p18,0
8,15,2,120,30gb,yes,email,p6,0
8,15,3,120,5000gb,yes,"email, video",p12,1
9,1,1,121,2000gb,yes,"email, video",p12,1
9,1,2,121,30gb,yes,"email, video",p18,0
9,1,3,121,30gb,no,"email, video, productivity",p12,0
9,2,1,122,30gb,yes,"email, video",p6,1
9,2,2,122,2000gb,no,"email, video, productivity",p12,0
9,2,3,122,30gb,no,"email, video",p12,0
9,3,1,123,2000gb,no,"email, video, productivity",p18,0
9,3,2,123,2000gb,no,email,p6,1
9,3,3,123,2000gb,no,"email, video",p12,0
9,4,1,124,5000gb,no,email,p6,0
9,4,2,124,5000gb,no,"email, video",p18,0
9,4,3,124,5000gb,yes,"email, video",p12,1
9,5,1,125,30gb,yes,"email, video, productivity",p12,1
9,5,2,125,5000gb,no,"email, video, productivity",p12,0
9,5,3,125,30gb,no,"email, video, productivity",p18,0
9,6,1,126,5000gb,yes,"email, video",p6,1
9,6,2,126,5000gb,yes,email,p12,0
9,6,3,126,2000gb,yes,email,p18,0
9,7,1,127,5000gb,no,email,p12,0
9,7,2,127,5000gb,no,email,p18,0
9,7,3,127,5000gb,no,"email, video",p12,1
9,8,1,128,5000gb,yes,email,p18,0
9,8,2,128,2000gb,no,"email, video, productivity",p6,0
9,8,3,128,30gb,no,"email, video",p6,1
9,9,1,129,5000gb,yes,"email, video",p18,1
9,9,2,129,5000gb,yes,email,p6,0
9,9,3,129,2000gb,yes,"email, video",p18,0
9,10,1,130,5000gb,yes,"email, video, productivity",p6,0
9,10,2,130,30gb,no,email,p12,0
9,10,3,130,30gb,yes,"email, video",p12,1
9,11,1,131,2000gb,yes,"email, video, productivity",p18,0
9,11,2,131,30gb,no,email,p6,0
9,11,3,131,30gb,yes,email,p6,1
9,12,1,132,30gb,no,"email, video",p18,0
9,12,2,132,5000gb,yes,"email, video, productivity",p12,0
9,12,3,132,2000gb,no,"email, video",p6,1
9,13,1,133,2000gb,yes,"email, video, productivity",p12,0
9,13,2,133,5000gb,no,"email, video",p6,0
9,13,3,133,2000gb,yes,"email, video, productivity",p6,1
9,14,1,134,30gb,yes,"email, video, productivity",p18,0
9,14,2,134,2000gb,no,email,p18,0
9,14,3,134,2000gb,yes,email,p6,1
9,15,1,135,5000gb,no,"email, video, productivity",p6,0
9,15,2,135,2000gb,no,"email, video",p18,0
9,15,3,135,5000gb,yes,"email, video, productivity",p18,1
10,1,1,136,5000gb,no,"email, video, productivity",p12,0
10,1,2,136,5000gb,yes,"email, video",p6,0
10,1,3,136,2000gb,no,email,p12,1
10,2,1,137,2000gb,no,"email, video, productivity",p6,1
10,2,2,137,30gb,no,email,p6,0
10,2,3,137,2000gb,no,email,p18,0
10,3,1,138,2000gb,yes,"email, video",p12,1
10,3,2,138,2000gb,no,"email, video",p12,0
10,3,3,138,30gb,no,"email, video",p6,0
10,4,1,139,5000gb,yes,"email, video",p12,1
10,4,2,139,30gb,yes,"email, video",p6,0
10,4,3,139,5000gb,no,email,p18,0
10,5,1,140,30gb,no,"email, video, productivity",p12,0
10,5,2,140,2000gb,yes,"email, video",p18,0
10,5,3,140,2000gb,yes,email,p6,1
10,6,1,141,30gb,no,"email, video, productivity",p18,1
10,6,2,141,30gb,no,email,p18,0
10,6,3,141,2000gb,yes,email,p18,0
10,7,1,142,2000gb,yes,email,p12,0
10,7,2,142,5000gb,yes,"email, video, productivity",p18,1
10,7,3,142,30gb,yes,email,p6,0
10,8,1,143,30gb,yes,"email, video, productivity",p6,1
10,8,2,143,2000gb,no,"email, video",p6,0
10,8,3,143,2000gb,no,"email, video, productivity",p18,0
10,9,1,144,5000gb,yes,email,p18,0
10,9,2,144,2000gb,yes,"email, video, productivity",p12,1
10,9,3,144,5000gb,no,"email, video, productivity",p18,0
10,10,1,145,30gb,no,"email, video",p18,0
10,10,2,145,2000gb,no,"email, video, productivity",p12,0
10,10,3,145,30gb,yes,"email, video",p18,1
10,11,1,146,5000gb,yes,email,p6,1
10,11,2,146,5000gb,yes,email,p12,0
10,11,3,146,30gb,yes,"email, video, productivity",p18,0
10,12,1,147,2000gb,yes,"email, video",p6,0
10,12,2,147,30gb,no,"email, video, productivity",p6,1
10,12,3,147,5000gb,no,"email, video",p6,0
10,13,1,148,5000gb,yes,"email, video, productivity",p12,0
10,13,2,148,30gb,yes,email,p18,0
10,13,3,148,2000gb,no,email,p6,1
10,14,1,149,30gb,no,"email, video",p12,0
10,14,2,149,2000gb,no,"email, video",p18,0
10,14,3,149,2000gb,yes,"email, video, productivity",p6,1
10,15,1,150,5000gb,no,"email, video",p12,0
10,15,2,150,30gb,no,email,p12,1
10,15,3,150,5000gb,no,"email, video",p18,0
11,1,1,151,30gb,no,email,p18,0
11,1,2,151,5000gb,yes,"email, video",p18,1
11,1,3,151,30gb,yes,email,p6,0
11,2,1,152,2000gb,yes,email,p18,0
11,2,2,152,2000gb,yes,"email, video",p6,1
11,2,3,152,5000gb,no,"email, video",p12,0
11,3,1,153,2000gb,no,"email, video",p18,1
11,3,2,153,2000gb,no,email,p18,0
11,3,3,153,30gb,yes,email,p18,0
11,4,1,154,5000gb,yes,"email, video, productivity",p18,1
11,4,2,154,2000gb,no,email,p6,0
11,4,3,154,5000gb,yes,"email, video, productivity",p12,0
11,5,1,155,2000gb,no,"email, video, productivity",p6,0
11,5,2,155,2000gb,yes,"email, video",p18,0
11,5,3,155,5000gb,no,email,p6,1
11,6,1,156,5000gb,yes,"email, video, productivity",p6,1
11,6,2,156,2000gb,yes,"email, video, productivity",p18,0
11,6,3,156,30gb,yes,"email, video",p12,0
11,7,1,157,5000gb,no,"email, video",p6,1
11,7,2,157,30gb,yes,"email, video, productivity",p18,0
11,7,3,157,30gb,no,email,p12,0
11,8,1,158,2000gb,yes,"email, video",p12,1
11,8,2,158,30gb,no,email,p6,0
11,8,3,158,2000gb,no,"email, video",p12,0
11,9,1,159,2000gb,yes,email,p6,0
11,9,2,159,2000gb,no,"email, video",p6,1
11,9,3,159,5000gb,yes,"email, video",p12,0
11,10,1,160,5000gb,yes,email,p6,0
11,10,2,160,2000gb,no,"email, video, productivity",p12,1
11,10,3,160,5000gb,yes,email,p18,0
11,11,1,161,5000gb,yes,email,p12,0
11,11,2,161,2000gb,yes,"email, video, productivity",p6,0
11,11,3,161,30gb,yes,"email, video, productivity",p6,1
11,12,1,162,5000gb,no,email,p18,0
11,12,2,162,30gb,no,"email, video",p18,0
11,12,3,162,30gb,no,"email, video, productivity",p18,1
11,13,1,163,30gb,no,"email, video, productivity",p12,0
11,13,2,163,5000gb,no,"email, video, productivity",p6,1
11,13,3,163,5000gb,no,"email, video",p18,0
11,14,1,164,30gb,yes,"email, video, productivity",p12,1
11,14,2,164,30gb,yes,"email, video",p18,0
11,14,3,164,2000gb,yes,email,p12,0
11,15,1,165,30gb,no,"email, video, productivity",p6,1
11,15,2,165,5000gb,no,"email, video, productivity",p18,0
11,15,3,165,30gb,no,"email, video",p6,0
12,1,1,166,30gb,no,"email, video",p6,0
12,1,2,166,2000gb,yes,"email, video",p6,0
12,1,3,166,30gb,yes,"email, video, productivity",p12,1
12,2,1,167,30gb,no,"email, video, productivity",p12,0
12,2,2,167,30gb,yes,"email, video, productivity",p18,1
12,2,3,167,30gb,yes,email,p12,0
12,3,1,168,5000gb,no,email,p12,1
12,3,2,168,30gb,no,"email, video",p12,0
12,3,3,168,5000gb,yes,email,p18,0
12,4,1,169,2000gb,no,"email, video, productivity",p12,0
12,4,2,169,5000gb,yes,"email, video, productivity",p12,0
12,4,3,169,5000gb,no,"email, video",p6,1
12,5,1,170,2000gb,no,"email, video",p6,1
12,5,2,170,2000gb,yes,email,p6,0
12,5,3,170,5000gb,no,"email, video, productivity",p12,0
12,6,1,171,2000gb,no,"email, video",p18,0
12,6,2,171,2000gb,no,"email, video, productivity",p6,1
12,6,3,171,2000gb,no,email,p18,0
12,7,1,172,2000gb,yes,"email, video",p18,1
12,7,2,172,2000gb,no,email,p12,0
12,7,3,172,30gb,yes,email,p18,0
12,8,1,173,30gb,no,"email, video, productivity",p6,0
12,8,2,173,30gb,yes,"email, video",p12,1
12,8,3,173,30gb,yes,"email, video",p6,0
12,9,1,174,30gb,yes,"email, video",p18,0
12,9,2,174,30gb,yes,"email, video, productivity",p6,1
12,9,3,174,5000gb,yes,"email, video",p6,0
12,10,1,175,30gb,no,"email, video",p18,0
12,10,2,175,5000gb,no,email,p6,0
12,10,3,175,30gb,no,email,p6,1
12,11,1,176,5000gb,no,"email, video, productivity",p18,1
12,11,2,176,2000gb,no,email,p6,0
12,11,3,176,5000gb,yes,"email, video",p18,0
12,12,1,177,5000gb,yes,"email, video, productivity",p18,0
12,12,2,177,5000gb,no,"email, video",p12,1
12,12,3,177,2000gb,no,"email, video",p12,0
12,13,1,178,30gb,no,email,p18,0
12,13,2,178,30gb,no,email,p12,0
12,13,3,178,5000gb,yes,"email, video, productivity",p6,1
12,14,1,179,2000gb,no,"email, video, productivity",p18,0
12,14,2,179,2000gb,yes,email,p18,0
12,14,3,179,2000gb,yes,"email, video, productivity",p6,1
12,15,1,180,5000gb,yes,email,p6,1
12,15,2,180,2000gb,yes,"email, video",p12,0
12,15,3,180,2000gb,yes,"email, video, productivity",p18,0
13,1,1,181,30gb,yes,"email, video, productivity",p18,0
13,1,2,181,30gb,yes,"email, video",p12,0
13,1,3,181,30gb,no,email,p6,1
13,2,1,182,2000gb,yes,email,p18,0
13,2,2,182,30gb,yes,"email, video, productivity",p12,0
